date | value
2012-01-11 
2011-01-01a | 1
2011-01--01 | 1
2011 01 01 | 1
2011-01 01 | 1
2011-01- 01 | 1
2011-42-42 | 3
2011-06-31 | 3
2011-11-31 | 3
2011-02-29 | 3
2012-02-30 | 3
2011-01-01 | 1a
2011-01-01 | a
2011-01-03 | 1b+2
2009-01-01 | 3
2011-01-03 | 1a
2011-01-03 | 1b+2
2011-01-01 | a
2011-01-03 | 1d1
2011-01-03 | 1d1d1
2011-01-03 | 1h
2011-01-09 | -214748
2012-01-11 | -1
2001-42-42
a2001-42-42 |
b2001-42-42 |
-2001-42-42 |
2012-01-11 | 1e+b
2012-01-11 | pe
2012-01-11 | 2147483648
2009-01-02 | -1.0
2009-01-02 | -2.3
2009-01-02 | -22.3
2011-01-03 | d999.9
2011-01-03 | 1.2d
2012-01-11 | 1000.1
2011-01-03 | 1b99.9
